model_name,accuracy,precision,recall,f1_score,avg_inference_time,max_inference_time,min_inference_time,batch_size,learning_rate,dropout_rate,epochs
ResNet50 Classification Model,0.47,0.4909090908198347,0.5192307691309171,0.5046728921058609,0.35413771867752075,0.5617847442626953,0.26903843879699707,32,0.0001,0.9,15
EfficientNetB0 Classification Model,0.54,0.5423728812640046,0.6274509802691273,0.5818181767388431,0.3498111963272095,0.43410325050354004,0.2928962707519531,32,0.0001,0.9,15
MobileNetV2 Recognition Model,0.52,0.49999999989130434,0.47916666656684026,0.4893616970258035,0.126909077167511,0.16745305061340332,0.10718369483947754,32,0.0001,0.9,15
MobileNetV2 Classification Model,0.58,0.5208333332790799,0.5681818181172521,0.5434782558199435,0.2627865672111511,0.3337409496307373,0.18315505981445312,64,0.001,0.6,15
ResNet50 Classification Model,0.51,0.511111111054321,0.45999999995400004,0.4842105212786704,0.3590070605278015,0.6327333450317383,0.25334835052490234,64,0.001,0.6,15
EfficientNetB0 Classification Model,0.535,0.5869565216753309,0.4954128439912466,0.5373134278181235,0.35872167348861694,0.49025893211364746,0.27402806282043457,64,0.001,0.6,15
MobileNetV2 Recognition Model,0.505,0.5257731958220853,0.490384615337463,0.5074626815227348,0.1420426368713379,0.19867181777954102,0.09780645370483398,64,0.001,0.6,15
MobileNetV2 Classification Model,0.51,0.5151515150994797,0.5049504949995098,0.5099999949495001,0.2024651254926409,0.3181025981903076,0.14575719833374023,32,0.0001,0.7,15
ResNet50 Classification Model,0.485,0.48598130836579617,0.5199999999480001,0.5024154538943734,0.3104029723576137,0.6422226428985596,0.23431658744812012,32,0.0001,0.7,15
EfficientNetB0 Classification Model,0.495,0.49999999995098043,0.5049504949995098,0.5024630491378097,0.3161765847887312,0.460690975189209,0.2375791072845459,32,0.0001,0.7,15
MobileNetV2 Recognition Model,0.51,0.5052631578415513,0.48484848479951026,0.494845355775853,0.13380680765424455,0.1918811798095703,0.09451842308044434,32,0.0001,0.7,15
MobileNetV2 Classification Model,0.48,0.4673913042970227,0.43877551015930866,0.4526315739047092,0.21147952760968888,0.33107686042785645,0.12764453887939453,32,0.01,0.7,15
ResNet50 Classification Model,0.435,0.4158415841172434,0.4374999999544271,0.4263959340462265,0.3089777060917446,0.6438872814178467,0.23352932929992676,32,0.01,0.7,15
EfficientNetB0 Classification Model,0.46,0.5199999999480001,0.46428571424426024,0.49056603270558924,0.29058139664786203,0.45091915130615234,0.2412281036376953,32,0.01,0.7,15
MobileNetV2 Recognition Model,0.505,0.4555555555049383,0.45054945049993966,0.45303866898324235,0.10128147261483329,0.12401938438415527,0.09023475646972656,32,0.01,0.7,15
MobileNetV2 Classification Model,0.52,0.46296296292009603,0.5681818181172521,0.5102040766326531,0.23021670750209264,0.36749887466430664,0.15581583976745605,32,1e-05,0.7,15
ResNet50 Classification Model,0.445,0.4326923076507027,0.4639175257253694,0.44776118899136164,0.3090897628239223,0.670975923538208,0.23063397407531738,32,1e-05,0.7,15
EfficientNetB0 Classification Model,0.485,0.44329896902646404,0.4673913042970227,0.45502644998180347,0.2953927857535226,0.4653313159942627,0.23620295524597168,32,1e-05,0.7,15
MobileNetV2 Recognition Model,0.5,0.5049504949995098,0.5049504949995098,0.5049504899995099,0.12911060878208705,0.16228508949279785,0.09270930290222168,32,1e-05,0.7,15
MobileNetV2 Classification Model,0.505,0.4774774774344615,0.5638297871740607,0.5170731657156457,0.23364096879959106,0.3160724639892578,0.16329097747802734,64,0.1,0.5,15
ResNet50 Classification Model,0.54,0.556818181754907,0.48039215681564784,0.5157894686570639,0.3487391471862793,0.6353249549865723,0.23152804374694824,64,0.1,0.5,15
EfficientNetB0 Classification Model,0.45,0.4455445544113322,0.45454545449954087,0.4499999949555,0.3321552872657776,0.4341588020324707,0.2635819911956787,64,0.1,0.5,15
MobileNetV2 Recognition Model,0.51,0.5176470587626298,0.43564356431330264,0.4731182745560181,0.1295180320739746,0.18100571632385254,0.09282231330871582,64,0.1,0.5,15
MobileNetV2 Classification Model,0.515,0.4565217390808129,0.47191011230652696,0.4640883927401484,0.24378418922424316,0.31777262687683105,0.17299580574035645,64,0.01,0.5,15
ResNet50 Classification Model,0.44,0.419999999958,0.4374999999544271,0.42857142352977934,0.3632339835166931,0.6591851711273193,0.24037718772888184,64,0.01,0.5,15
EfficientNetB0 Classification Model,0.505,0.48484848479951026,0.4999999999479167,0.4923076872583827,0.34667110443115234,0.4556264877319336,0.2643005847930908,64,0.01,0.5,15
MobileNetV2 Recognition Model,0.515,0.5333333332740741,0.4660194174304836,0.4974093213960107,0.13096356391906738,0.1912546157836914,0.09189391136169434,64,0.01,0.5,15
MobileNetV2 Classification Model,0.51,0.5188679244793521,0.5392156862216455,0.5288461487971525,0.7491534948348999,1.208251714706421,0.2900552749633789,128,0.01,0.5,15
ResNet50 Classification Model,0.495,0.49999999995000005,0.49504950490148025,0.49751243276156537,16.72236180305481,33.16234230995178,0.2823812961578369,128,0.01,0.5,15
EfficientNetB0 Classification Model,0.48,0.49107142852758295,0.5392156862216455,0.514018686551664,18.0109224319458,35.18500328063965,0.8368415832519531,128,0.01,0.5,15
MobileNetV2 Recognition Model,0.455,0.4144144143770798,0.511111111054321,0.45771143779510415,0.25505101680755615,0.2772238254547119,0.2328782081604004,128,0.01,0.5,15
MobileNetV2 Classification Model,0.485,0.5263157894182826,0.46296296292009603,0.4926108324103959,0.2302526831626892,0.31681084632873535,0.13268017768859863,64,0.01,0.5,15
ResNet50 Classification Model,0.48,0.4857142856680272,0.5049504949995098,0.495145626021774,0.36016756296157837,0.658271074295044,0.2417924404144287,64,0.01,0.5,15
EfficientNetB0 Classification Model,0.5,0.5047619047138322,0.5247524751955691,0.5145631017480442,0.35930335521698,0.46691274642944336,0.29086899757385254,64,0.01,0.5,15
MobileNetV2 Recognition Model,0.515,0.5462962962457133,0.5514018691073457,0.5488372042513792,0.1323171854019165,0.20917868614196777,0.08788776397705078,64,0.01,0.5,15
MobileNetV2 Classification Model,0.495,0.5199999999480001,0.49523809519092976,0.5073170681242121,0.2305799126625061,0.32429003715515137,0.13644814491271973,64,0.01,0.5,15
ResNet50 Classification Model,0.51,0.5757575756994184,0.5044247787164227,0.537735844027679,0.3516387939453125,0.6579113006591797,0.22460651397705078,64,0.01,0.5,15
EfficientNetB0 Classification Model,0.485,0.4897959183173678,0.4752475247054211,0.4824120552541603,0.30726730823516846,0.4465749263763428,0.24367284774780273,64,0.01,0.5,15
MobileNetV2 Recognition Model,0.43,0.51648351642676,0.4017094016750676,0.4519230719577479,0.12482362985610962,0.1904146671295166,0.08974981307983398,64,0.01,0.5,15
MobileNetV2 Classification Model,0.485,0.4949494948995001,0.48039215681564784,0.48756218400732665,0.259025514125824,0.3190648555755615,0.18160200119018555,64,0.01,0.3,15
ResNet50 Classification Model,0.47,0.4519230768796228,0.4895833332823351,0.4699999949610001,0.35439831018447876,0.6675941944122314,0.22653508186340332,64,0.01,0.3,15
EfficientNetB0 Classification Model,0.505,0.5346534652935987,0.5094339622160912,0.5217391253872904,0.3435707092285156,0.4447016716003418,0.27446985244750977,64,0.01,0.3,15
MobileNetV2 Recognition Model,0.5,0.5384615384023669,0.45794392519084637,0.4949494899321498,0.11787980794906616,0.1381397247314453,0.08806443214416504,64,0.01,0.3,15
MobileNetV2 Classification Model,0.55,0.5673076922531435,0.5673076922531435,0.5673076872531436,0.24364155530929565,0.33144426345825195,0.16855406761169434,64,0.01,0.1,15
ResNet50 Classification Model,0.5,0.40860215049369875,0.4578313252460445,0.4318181767852532,0.353482723236084,0.6298918724060059,0.24111270904541016,64,0.01,0.1,15
EfficientNetB0 Classification Model,0.53,0.6105263157252078,0.5043478260431002,0.5523809473736961,0.3281131386756897,0.4490072727203369,0.24718832969665527,64,0.01,0.1,15
MobileNetV2 Recognition Model,0.555,0.5862068964843441,0.490384615337463,0.5340314085962556,0.1066240668296814,0.13143301010131836,0.09138727188110352,64,0.01,0.1,15
MobileNetV2 Classification Model,0.53,0.5943396225854397,0.552631578898892,0.5727272676818184,0.24742311239242554,0.3344838619232178,0.16160964965820312,64,0.001,0.1,15
ResNet50 Classification Model,0.485,0.4468085105907651,0.45161290317724595,0.4491978559146673,0.3739691972732544,0.651047945022583,0.24570965766906738,64,0.001,0.1,15
EfficientNetB0 Classification Model,0.52,0.5909090908419422,0.46428571424426024,0.5199999950200002,0.33624786138534546,0.45125746726989746,0.27928972244262695,64,0.001,0.1,15
MobileNetV2 Recognition Model,0.47,0.469999999953,0.469999999953,0.46999999495300004,0.12573444843292236,0.18323588371276855,0.08809041976928711,64,0.001,0.1,15
MobileNetV2 Classification Model,0.46,0.450980392112649,0.46938775505414415,0.459999994956,0.2413385510444641,0.32386326789855957,0.1725444793701172,64,0.1,0.1,15
ResNet50 Classification Model,0.57,0.628318584015193,0.6173913042941399,0.6228070124896122,0.3612692356109619,0.6679151058197021,0.24168634414672852,64,0.1,0.1,15
EfficientNetB0 Classification Model,0.49,0.5096153845663831,0.5096153845663831,0.5096153795663831,0.35203951597213745,0.4481964111328125,0.294600248336792,64,0.1,0.1,15
MobileNetV2 Recognition Model,0.515,0.5326086955942817,0.47572815529361867,0.5025640975284682,0.1227300763130188,0.15702128410339355,0.09468936920166016,64,0.1,0.1,15
MobileNetV2 Classification Model,0.455,0.4329896906770114,0.4374999999544271,0.43523315557679404,0.20934312684195383,0.3418266773223877,0.1378309726715088,32,0.1,0.1,15
ResNet50 Classification Model,0.45,0.4705882352479816,0.46153846149408284,0.4660194124309549,0.31966488701956614,0.6495604515075684,0.23161578178405762,32,0.1,0.1,15
EfficientNetB0 Classification Model,0.47,0.4951456310198888,0.4857142856680272,0.49038461033792535,0.2991727079663958,0.4619736671447754,0.25359010696411133,32,0.1,0.1,15
MobileNetV2 Recognition Model,0.535,0.5268817203734536,0.49999999994897965,0.513089000185302,0.13414832523890904,0.15967869758605957,0.10506582260131836,32,0.1,0.1,15
MobileNetV2 Classification Model,0.48,0.4687499999511719,0.4591836734225323,0.46391752072590076,0.2335684895515442,0.32466554641723633,0.13060450553894043,64,0.01,0.1,30
ResNet50 Classification Model,0.49,0.4666666666148149,0.4374999999544271,0.4516128981824489,0.3588103652000427,0.6314561367034912,0.25234341621398926,64,0.01,0.1,30
EfficientNetB0 Classification Model,0.47,0.5052631578415513,0.44859813079919647,0.4752475197230664,0.32112395763397217,0.43523693084716797,0.26712965965270996,64,0.01,0.1,30
MobileNetV2 Recognition Model,0.49,0.5048543688830239,0.5048543688830239,0.504854363883024,0.12322139739990234,0.1984710693359375,0.08780908584594727,64,0.01,0.1,30
MobileNetV2 Classification Model,0.495,0.5188679244793521,0.5238095237596372,0.521327009168707,0.29915356636047363,0.41994667053222656,0.1841716766357422,64,0.01,0.1,15
ResNet50 Classification Model,0.545,0.5982905982394624,0.6140350876654356,0.6060606010089766,0.3825092911720276,0.6421105861663818,0.24437785148620605,64,0.01,0.1,15
