model_name,accuracy,precision,recall,f1_score,avg_inference_time,max_inference_time,min_inference_time
Detection Model,0.52,0.4727272726413223,0.5777777776493827,0.519999994946,1.3094337582588196,1.6958706378936768,0.2731304168701172
Classification Model,0.47,0.5283018866927732,0.49999999991071425,0.5137614627994278,1.330683410167694,1.6993944644927979,0.2871837615966797
Recognition Model,0.5,0.49999999991379307,0.579999999884,0.5370370319650207,0.0784832239151001,0.09753584861755371,0.04237937927246094
Detection Model,0.49,0.5490196077354863,0.49999999991071425,0.5233644808944012,1.3078830242156982,1.7244439125061035,0.2875070571899414,0.001,0.5,10
Classification Model,0.49,0.4629629628772291,0.5319148935038479,0.4950494998764828,1.3381356000900269,1.732562780380249,0.298917293548584,0.001,0.5,10
Recognition Model,0.4,0.374999999921875,0.374999999921875,0.3749999949218751,0.07579970359802246,0.0931539535522461,0.05194401741027832,0.001,0.5,10
Detection Model,0.5,0.5869565216115312,0.46551724129904876,0.5192307641974853,1.3446492552757263,1.9535763263702393,0.2808043956756592,0.001,0.5,10
Classification Model,0.48,0.459999999908,0.47916666656684026,0.4693877500083299,1.256091058254242,1.6066720485687256,0.28273987770080566,0.001,0.5,10
Recognition Model,0.53,0.5769230768121302,0.5454545453553719,0.5607476584505197,0.06962990760803223,0.08751559257507324,0.03898477554321289,0.001,0.5,10
Detection Model,0.46,0.499999999875,0.37037037030178327,0.42553190991398826,1.1908586621284485,1.5925467014312744,0.24656462669372559,0.001,0.7,15
Classification Model,0.45,0.4166666665798611,0.4255319148030783,0.4210526264908588,1.1891754865646362,1.5599889755249023,0.23055100440979004,0.001,0.7,15
Recognition Model,0.45,0.39999999992,0.444444444345679,0.42105262650415515,0.05155271291732788,0.061728477478027344,0.03000164031982422,0.001,0.7,15
Detection Model,0.44,0.530612244789671,0.4406779660270037,0.4814814764351852,1.1170517802238464,1.4434151649475098,0.23552203178405762,0.01,0.5,15
Classification Model,0.42,0.47169811311854754,0.4545454544628099,0.4629629578789438,1.131073772907257,1.4374628067016602,0.26299548149108887,0.01,0.5,15
Recognition Model,0.38,0.4130434781710775,0.3518518517866941,0.379999994956,0.057866811752319336,0.07148122787475586,0.02500319480895996,0.01,0.5,15
Detection Model,0.58,0.5744680849841557,0.5510204080508122,0.5624999948849827,1.1266993284225464,1.4510059356689453,0.2441239356994629,0.001,0.5,15
Classification Model,0.47,0.47826086946124763,0.43137254893502497,0.45360824234243813,1.1262146830558777,1.4686110019683838,0.20907044410705566,0.0001,0.5,15
Recognition Model,0.48,0.479999999904,0.479999999904,0.479999994904,0.043511807918548584,0.05453038215637207,0.024997234344482422,0.0001,0.5,15
Detection Model,0.48,0.49056603764328943,0.5098039214686659,0.49999999490569536,1.5032870769500732,1.5738060474395752,1.4327681064605713,0.001,0.5,15
Classification Model,0.43,0.4883720929096809,0.37499999993303573,0.4242424192429345,1.5028458833694458,1.582688331604004,1.4230034351348877,0.0001,0.5,15
Recognition Model,0.55,0.4727272726413223,0.6190476189002267,0.5360824692060794,0.06128084659576416,0.06911206245422363,0.05344963073730469,0.0001,0.5,15
Detection Model,0.59,0.6666666665079365,0.5090909089983471,0.5773195825996388,1.1070013046264648,1.4206171035766602,0.23784518241882324,0.001,0.7,15
Classification Model,0.48,0.47826086946124763,0.439999999912,0.4583333282465278,1.119770348072052,1.4368250370025635,0.23722481727600098,0.001,0.7,15
Recognition Model,0.6,0.568181818052686,0.5434782607514178,0.555555550434568,0.06375634670257568,0.07840681076049805,0.029090166091918945,0.001,0.7,15
Detection Model,0.55,0.5490196077354863,0.559999999888,0.5544554404352516,1.1524732112884521,1.5195648670196533,0.25470519065856934,0.001,0.8,15
Classification Model,0.52,0.519999999896,0.519999999896,0.5199999948960001,1.1364669799804688,1.4538874626159668,0.2340705394744873,0.001,0.8,15
Recognition Model,0.45,0.4545454544421488,0.39215686266820454,0.4210526265174515,0.05855691432952881,0.07652878761291504,0.025997161865234375,0.001,0.8,15
Detection Model,0.5,0.44680851054323223,0.46666666656296296,0.4565217340335539,1.1170094013214111,1.4564356803894043,0.24068498611450195,0.001,0.5,15
Classification Model,0.47,0.5999999998666666,0.4354838708975026,0.5046728922281423,1.173091173171997,1.562218427658081,0.24381422996520996,0.001,0.5,15
Recognition Model,0.55,0.510638297763694,0.5217391303213611,0.5161290271476472,0.054937779903411865,0.07375192642211914,0.02402186393737793,0.001,0.5,15
Detection Model,0.46,0.444444444345679,0.4081632652228238,0.42553190981213224,1.1123075485229492,1.4421217441558838,0.23180532455444336,0.001,0.5,15
Classification Model,0.63,0.6888888887358025,0.574074073967764,0.6262626211774308,1.1149770617485046,1.4464054107666016,0.24215102195739746,0.001,0.5,15
Recognition Model,0.54,0.6122448978342357,0.5263157893813482,0.566037730770737,0.057240426540374756,0.09260225296020508,0.023560523986816406,0.001,0.3,15
Detection Model,0.5,0.4642857142028061,0.5652173911814745,0.5098039165167244,1.1242042183876038,1.4613347053527832,0.23349356651306152,0.001,0.5,15
Classification Model,0.46,0.42105263146814403,0.33333333326388886,0.37209301823688484,1.109953761100769,1.4389634132385254,0.20217418670654297,0.001,0.5,15
Recognition Model,0.43,0.41071428564094387,0.48936170202354007,0.44660193669902915,0.0511021614074707,0.06306838989257812,0.02400517463684082,0.001,0.3,15
Detection Model,0.55,0.5357142856186224,0.6122448978342357,0.5714285663419502,1.1238312125205994,1.4360594749450684,0.2492213249206543,0.001,0.5,15
Classification Model,0.52,0.6341463413087448,0.4406779660270037,0.5199999950580001,1.112566888332367,1.4357399940490723,0.22844219207763672,0.001,0.3,15
